province_name,total_deposits
Capital Federal,12775877614
Provincia de Buenos Aires,5064091696
Catamarca,110122002
Cordoba,1653211922
Corrientes,191934648
Chaco,227768712
Chubut,294315637
Entre Rios,423571807
Formosa,118541253
Jujuy,124581385
La Pampa,206372028
La Rioja,70694822
Mendoza,585241747
Misiones,227050416
Neuquen,318970040
Rio Negro,227898638
Salta,318016789
San Juan,184622170
San Luis,443228479
Santa Cruz,170738617
Santa Fe,1587198716
Santiago Del Estero,231824971
Tucuman,339111404
"Tierra Del Fuego, Antartida e Islas del Atlantico Sur",144498893
